order,order_code,great_group,great_group_code,key_horizons,organic_horizon_required,saturation_required,permafrost_required,min_organic_depth_cm,von_post_dominant,key_criteria,wetland_relevance,alberta_occurrence,notes
Chernozemic,CH,Brown Chernozem,B.CH,"Ah, Cca",FALSE,FALSE,FALSE,NA,NA,"Dark Ah ≥10 cm; base saturation ≥80%; no Btj/Bnj; not gleyed; Ah color value ≥3.5 moist or chroma ≥2 dry in upper 10 cm",None,Common,"Driest zone; annual precip typically <350 mm; Brown Ah reflects lower organic matter input"
Chernozemic,CH,Dark Brown Chernozem,DB.CH,"Ah, Cca",FALSE,FALSE,FALSE,NA,NA,"Dark Ah ≥10 cm; base saturation ≥80%; no Btj/Bnj; Ah darker than Brown Chernozem; intermediate moisture zone",None,Common,"Transitional between Brown and Black zones; precip ~350–450 mm"
Chernozemic,CH,Black Chernozem,BL.CH,"Ah, Cca",FALSE,FALSE,FALSE,NA,NA,"Very dark Ah ≥10 cm (value ≤2 moist, chroma ≤2); base saturation ≥80%; highest organic carbon of Chernozemic order; no Btj/Bnj",None,Common,"Most productive agricultural soils; precip ~450–550 mm; common in central Alberta parkland"
Chernozemic,CH,Dark Gray Chernozem,DG.CH,"Ah, Ae or AB, Bt or Bm",FALSE,FALSE,FALSE,NA,NA,"Dark Ah but with eluviation features (Ae or AB); transitional to Luvisolic; base saturation ≥80%; no Btj; not gleyed",None,Common,"Forest-grassland transition; grey tone in Ah indicates leaching; common in aspen parkland"
Solonetzic,SO,Solonetz,SZ.SO,"Bnt",FALSE,FALSE,FALSE,NA,NA,"Bnt (natric B) with columnar or prismatic structure; high exchangeable Na (ESP ≥15%); abrupt textural change at top of Bnt; may have thin Ae",Moderate,Occasional,"Associated with saline-sodic depressions and pothole wetlands; restricts drainage"
Solonetzic,SO,Solodized Solonetz,SS.SO,"Ae, Bnt",FALSE,FALSE,FALSE,NA,NA,"Ae horizon ≥2 cm over Bnt; Bnt has columnar/prismatic structure; more leached than Solonetz but natric B intact",Moderate,Occasional,"Wetted depressions with seasonal ponding; intermediate degradation stage; common around saline lakes"
Solonetzic,SO,Solod,SD.SO,"Ae, Bt (degraded)",FALSE,FALSE,FALSE,NA,NA,"Strongly degraded Bnt — columnar structure largely destroyed; thick Ae; low remaining Na; near-complete leaching of natric horizon",Low,Rare,"Advanced degradation of Solonetz under prolonged leaching; structurally similar to Gray Luvisol"
Luvisolic,LU,Gray Brown Luvisol,GB.LU,"Ae, Bt",FALSE,FALSE,FALSE,NA,NA,"Ae over Bt (argillic B with clay films); base saturation ≥50%; warm temperate climate; Great Lakes/St. Lawrence region",None,None,"Not found in Alberta; restricted to Great Lakes–St. Lawrence lowlands"
Luvisolic,LU,Gray Luvisol,G.LU,"Ae, Bt",FALSE,FALSE,FALSE,NA,NA,"Ae over Bt (argillic B with clay skins/films); base saturation ≥50%; boreal/sub-boreal climate; no permafrost within 2 m; no prolonged saturation",None,Common,"Dominant upland forest soil in boreal Alberta; Ae-Bt sequence is diagnostic; common parent for Luvic Gleysols"
Podzolic,PO,Humic Podzol,H.PO,"Ah or Ahe, Bh",FALSE,FALSE,FALSE,NA,NA,"Bh horizon (organic matter illuviation with little Fe/Al); carbon/pyrophosphate-Al ratio >5; typically under heath or wet forest; may be seasonally saturated",Moderate,Occasional,"Associated with acidic wet depressions and sphagnum-dominated areas; bh horizon accumulates organic carbon"
Podzolic,PO,Ferro-Humic Podzol,FH.PO,"Ae or Ahe, Bhf",FALSE,FALSE,FALSE,NA,NA,"Bhf horizon with both organic matter and Fe-Al accumulation; pyrophosphate-Al ≥0.5%; C/pyrophosphate-Al ratio 0.5–5; typically well-drained",None,Occasional,"High-rainfall or coarse-textured parent materials; less common in Alberta than in coastal or shield areas"
Podzolic,PO,Humo-Ferric Podzol,HF.PO,"Ae or Ahe, Bf",FALSE,FALSE,FALSE,NA,NA,"Bf horizon dominant — Al and Fe with little organic matter; C/pyrophosphate-Al ratio <0.5; typically well-drained coarse soils under coniferous forest",None,Occasional,"Most common Podzol in Alberta; coarse-textured glaciofluvial or aeolian parent materials"
